,only_gen_code,question,ref_code,test_asserts,gen_code,time
0,"
def remove_Occ(s,ch):
    result = """"
    for i in range(len(s)):
        if s[i] != ch:
            result += s[i]
    return result

# ",Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","Python Function - Write a python function to remove first and last occurrence of a given character from the string.
def remove_Occ(s,ch):
    result = """"
    for i in range(len(s)):
        if s[i] != ch:
            result += s[i]
    return result

# Python Function - Write a python function to remove first and last occurrence of a given character from the string.
def remove_Occ(s,ch):
    result = """"
    for i in range(len(s)):
        if s[i] != ch:
            result += s[i]
    return result
",75.0229275226593
1,"
def sort_matrix(M):
    result = []
    for i in range(len(M)):
        result.append(sum(M[i]))
    result.sort()
    return result
",Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","Python Function - Write a function to sort a given matrix in ascending order according to the sum of its rows.
def sort_matrix(M):
    result = []
    for i in range(len(M)):
        result.append(sum(M[i]))
    result.sort()
    return result
",26.193670511245728
2,"
from collections import Counter
def count_common(words):
    result = Counter(words)
    result = result.most_common(1)
    return result
",Write a function to count the most common words in a dictionary.,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
","['assert count_common([\'red\',\'green\',\'black\',\'pink\',\'black\',\'white\',\'black\',\'eyes\',\'white\',\'black\',\'orange\',\'pink\',\'pink\',\'red\',\'red\',\'white\',\'orange\',\'white\',""black"",\'pink\',\'green\',\'green\',\'pink\',\'green\',\'pink\',\'white\',\'orange\',""orange"",\'red\']) == [(\'pink\', 6), (\'black\', 5), (\'white\', 5), (\'red\', 4)]', ""assert count_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) == [('one', 4), ('two', 2), ('three', 2), ('four', 1)]"", ""assert count_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) == [('Apple', 2), ('Amazon', 2), ('Netflix', 2), ('Facebook', 1)]""]","Python Function - Write a function to count the most common words in a dictionary.
from collections import Counter
def count_common(words):
    result = Counter(words)
    result = result.most_common(1)
    return result
",18.416746616363525
3,"
def find_Volume(l,b,h) :
    result = l * b * h
    return result
",Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","Python Function - Write a python function to find the volume of a triangular prism.
def find_Volume(l,b,h) :
    result = l * b * h
    return result
",9.467687129974365
4,"
import re
def split_lowerstring(text):
    result = re.split(r'([a-z])', text)
    return result
",Write a function to split a string at lowercase letters.,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))","['assert split_lowerstring(""AbCd"")==[\'bC\',\'d\']', 'assert split_lowerstring(""Python"")==[\'y\', \'t\', \'h\', \'o\', \'n\']', 'assert split_lowerstring(""Programming"")==[\'r\', \'o\', \'g\', \'r\', \'a\', \'m\', \'m\', \'i\', \'n\', \'g\']']","Python Function - Write a function to split a string at lowercase letters.
import re
def split_lowerstring(text):
    result = re.split(r'([a-z])', text)
    return result
",16.189915657043457
5,"
import re
def text_lowercase_underscore(text):
    result = re.findall(r'[a-z]+_[a-z]+', text)
    return result
",Write a function to find sequences of lowercase letters joined with an underscore.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","['assert text_lowercase_underscore(""aab_cbbbc"")==(\'Found a match!\')', 'assert text_lowercase_underscore(""aab_Abbbc"")==(\'Not matched!\')', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(\'Not matched!\')']","Python Function - Write a function to find sequences of lowercase letters joined with an underscore.
import re
def text_lowercase_underscore(text):
    result = re.findall(r'[a-z]+_[a-z]+', text)
    return result
",20.55247211456299
6,"
def square_perimeter(a):
    result = 4 * a
    return result
",Write a function to find the perimeter of a square.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","Python Function - Write a function to find the perimeter of a square.
def square_perimeter(a):
    result = 4 * a
    return result
",8.728995084762573
7,"
NO_OF_CHARS = 256
def str_to_list(string):
    result = [0] * NO_OF_CHARS
    for i in range(len(string)):
        result[ord(string[i])] += 1
    return result

def remove_chars(string1, string2):
    list1 = str_to_list(string1)
    list2 = str_to_list(string2)
    result = """"
    for i in range(NO_OF_CHARS):
        if list1[i] > list2[i]:
    return result
",Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\' ']","Python Function - Write a function to remove characters from the first string which are present in the second string.
NO_OF_CHARS = 256
def str_to_list(string):
    result = [0] * NO_OF_CHARS
    for i in range(len(string)):
        result[ord(string[i])] += 1
    return result

def remove_chars(string1, string2):
    list1 = str_to_list(string1)
    list2 = str_to_list(string2)
    result = """"
    for i in range(NO_OF_CHARS):
        if list1[i] > list2[i]:
    return result
",89.21105122566223
8,"
def test_duplicate(arraynums):
    result = False
    for i in range(len(arraynums)):
        for j in range(i+1, len(arraynums)):
            if arraynums[i] == arraynums[j]:
                result = True
                break
    return result
",Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","Python Function - Write a function to find whether a given array of integers contains any duplicate element.
def test_duplicate(arraynums):
    result = False
    for i in range(len(arraynums)):
        for j in range(i+1, len(arraynums)):
            if arraynums[i] == arraynums[j]:
                result = True
                break
    return result
",43.28956723213196
9,"
def is_woodall(x):
    result = False
    if x % 3 == 0 and x % 5 == 0:
        result = True
    return result
",Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","Python Function - Write a function to check if the given number is woodball or not.
def is_woodall(x):
    result = False
    if x % 3 == 0 and x % 5 == 0:
        result = True
    return result
",22.63735866546631
